sampling_method,sampling_condition,reconstruction_condition,samp_perc,psnr_db_weighted,ssim_weighted,pixel_mae_weighted,grain_weighted,runtime_sec_weighted,psnr_db_original,ssim_original,pixel_mae_original,grain_original,runtime_sec_original,_merge,psnr_db_weighted_minus_original,ssim_weighted_minus_original,pixel_mae_weighted_minus_original,grain_weighted_minus_original,runtime_sec_weighted_minus_original
cs,k4_cat,sunset_beach,0.005,,,,,,19.045440694921503,0.9304790519556084,0.0687486857175827,0.00132276164367795,4369.470395994186,right_only,,,,,
cs,k4_cat,sunset_beach,0.01,16.115360857949167,0.890404776725037,0.11979836225509644,0.004177096160128712,7345.396578359604,20.66539585333899,0.9507467842517505,0.05565987825393677,0.0016855583526194096,5473.117690563202,both,-4.550034995389822,-0.06034200752671348,0.06413848400115967,0.0024915378075093027,1872.2788877964022
cs,k4_cat,unprompted,0.00125,17.32782465666388,0.8935511880146351,0.0938052475452423,0.008576831873506307,11735.036865329743,19.691653681734373,0.9385037483722887,0.06491481512784958,0.002440526382997632,8243.405149936676,both,-2.363829025070494,-0.044952560357653604,0.028890432417392725,0.006136305490508675,3491.6317153930668
cs,k4_cat,unprompted,0.0025,17.913210383327414,0.907682631096343,0.08553353250026703,0.011194612830877304,14123.304723024368,20.86105111317019,0.9529704767520037,0.05570343062281609,0.002954959962517023,8329.620664024353,both,-2.9478407298427776,-0.0452878456556608,0.029830101877450943,0.008239652868360281,5793.684059000016
cs,k4_cat,unprompted,0.005,18.359802428924457,0.9171945728801386,0.08037871867418289,0.012892860360443592,12594.669241809845,22.577984762143057,0.968867103093964,0.04338005632162094,0.003988478984683752,11872.545969676972,both,-4.2181823332186,-0.05167253021382534,0.03699866235256195,0.00890438137575984,722.1232721328724
cs,k4_cat,unprompted,0.01,17.864021876567833,0.9151797275696314,0.09244135469198227,0.014200994558632375,11857.400299835204,23.678546571945763,0.9759300937465403,0.03622142523527146,0.003912566509097814,13413.878191709518,both,-5.81452469537793,-0.060750366176908877,0.05621992945671081,0.01028842804953456,-1556.477891874314
mcs,mcs,cat,0.00125,11.29075477752438,0.51812555317059,0.20829269886016846,0.0031254808884114025,3428.761806440353,,,,,,left_only,,,,,
mcs,mcs,cat,0.0025,10.471082248033898,0.43770740784788204,0.22837343513965608,0.0040796204470098015,3543.440631341934,,,,,,left_only,,,,,
mcs,mcs,cat,0.005,10.495166424739597,0.469617311683059,0.2290022552013397,0.0038612417876720427,4716.195137929916,,,,,,left_only,,,,,
mcs,mcs,cat,0.01,10.178869427426624,0.44458170186081175,0.2476878881454468,0.004559508012607694,4968.512307214737,,,,,,left_only,,,,,
