distribution_key,line_condition,samp_perc,psnr_db_weighted,ssim_weighted,pixel_mae_weighted,psnr_db_original,ssim_original,pixel_mae_original,_merge,psnr_db_weighted_minus_original,ssim_weighted_minus_original,pixel_mae_weighted_minus_original
k2_sunset_beach,cfg7p5,0.005,,,,22.21723859612605,0.9407789928906626,0.05070059970021248,right_only,,,
k2_sunset_beach,cfg7p5,0.01,,,,24.51940672535162,0.9655885990195152,0.03677277490496635,right_only,,,
k2_sunset_beach,unconditioned,0.00125,19.9898937650881,0.9049907995967392,0.07138718416293462,24.210698464853465,0.9640785311515441,0.03911741599440575,both,-4.220804699765363,-0.059087731554804845,0.03226976816852887
k2_sunset_beach,unconditioned,0.0025,,,,26.211984504715367,0.9777658623148611,0.030114950239658357,right_only,,,
k2_sunset_beach,unconditioned,0.005,,,,27.47973885808171,0.9833439720135786,0.025886300206184387,right_only,,,
k2_sunset_beach,unconditioned,0.01,18.56294804227863,0.9022659242929013,0.0949012612303098,28.7200905776749,0.9875772057998546,0.02219441793859005,both,-10.157142535396268,-0.08531128150695333,0.07270684329171975
k4_cat,cfg1,0.00125,,,,20.60206619334576,0.9158536007696911,0.05995216220617294,right_only,,,
k4_cat,cfg1,0.0025,,,,24.975940129663414,0.9701892813392394,0.03462565690279007,right_only,,,
k4_cat,cfg1,0.005,,,,26.460581388540234,0.9789154263541879,0.029528208076953888,right_only,,,
k4_cat,cfg1,0.01,,,,28.074262969022456,0.9855641412450475,0.02420319151133299,right_only,,,
k4_cat,cfg3,0.00125,,,,20.883524822097606,0.9182359387665953,0.055898517370224,right_only,,,
k4_cat,cfg3,0.0025,,,,24.637616884844327,0.9676071883324885,0.03605647198855877,right_only,,,
k4_cat,cfg3,0.005,,,,25.137952459133544,0.9695017472168702,0.03430635575205088,right_only,,,
k4_cat,cfg3,0.01,,,,27.689295612663198,0.9840104192596378,0.024841194041073322,right_only,,,
k4_cat,cfg5,0.00125,,,,22.119634052936398,0.9391229229972373,0.04969992861151695,right_only,,,
k4_cat,cfg5,0.0025,,,,22.483010283863877,0.9474232354218816,0.048162560909986496,right_only,,,
k4_cat,cfg5,0.005,,,,24.292228227617926,0.963942353042502,0.03823272883892059,right_only,,,
k4_cat,cfg5,0.01,,,,26.602585424909144,0.9790510121090408,0.028373767621815205,right_only,,,
k4_cat,cfg7p5,0.00125,,,,19.77453977069615,0.8924098660476588,0.07115781307220459,right_only,,,
k4_cat,cfg7p5,0.0025,,,,19.819723914439333,0.8975392443977126,0.06320168823003769,right_only,,,
k4_cat,cfg7p5,0.005,,,,22.380473059937117,0.946294181196682,0.04737783744931221,right_only,,,
k4_cat,cfg7p5,0.01,,,,22.169350602221055,0.9434302188091467,0.05179530084133148,right_only,,,
